content,fecha_publicacion
@xevtfm @XochitlGalvez @politicomx Los mismos anos que ella tuvo para expresarse locuazmente y exhibirse en todos los medios. Su fama bajo cuando se le obligo al presidente en referirse a ella en las mananeras.  ,2023-11-24 21:59:37+00:00
@mario_delgado @XochitlGalvez Una cientifica que se fue al extranjero a aprender a robar. Segun lo dijo mi presidente. ,2023-11-24 21:57:19+00:00
@fernandeznorona @XochitlGalvez No rona esta el pendejo de tu presidente el dinosaurio de llope cagador,2023-11-24 21:56:09+00:00
"@RubnVsquez5 @CarlaEUrenaA @XochitlGalvez @martibatres @Viri_Rios @SantiagoCreelM Cuanta razon tiene el presidente @lopezobrador_ , estan desesperados.",2023-11-24 21:53:34+00:00
"@fernandeznorona @XochitlGalvez Fernandez Norona, esas bromas dejelas para los que andamos a pie, usted es un diputado federal con licencia, un aspiracionista que quiere llegar a ser presidente de  (Ojala y no lo sea) solo con ese comentario mancha el movimiento de la 4ta transformacion, dediquese a lo suyo.",2023-11-24 21:50:40+00:00
@salvadorlopezos @XochitlGalvez Apoya a  OCHITL futura presidente ya dijo te ba aumentar tu beca...aaa dijo molecula que obrador dejara huerfanos..apoyala para que tengas m4dr3... fuera el tiranito MORENA  y toda su p3rrada,2023-11-24 21:42:14+00:00
@owornat @XochitlGalvez Milei Presidente ,2023-11-24 21:41:55+00:00
@jgnaredo @XochitlGalvez A este Presidente hay que hecharlo AFUERA pero de la tierra,2023-11-24 21:39:23+00:00
"Un gusto coincidir con @XochitlGalvez, Precandidata a la Presidencia de la Republica por el Frente Amplio por Mexico, nuestro Presidente Nacional @MarkoCortes, nuestro Presidente Estatal @anuarazar, y el Coordinador Nacional de Diputados, con licencia, @EnriqueVargasdV. https://t.co/1mOBlZdgt3",2023-11-24 21:38:27+00:00
"@owornat @XochitlGalvez ?Ya se te acabaron los ataques a TU PRESIDENTE ELECTO @JMilei?

Ahora pasas a los ataques a nuestra candidata @XochitlGalvez ?Ves como si eres una VULGAR ALCAHUETE de los regimenes populistas y destructores como el del ENGENDRO MISERABLE @lopezobrador_?

Te espera otro berrinche",2023-11-24 21:36:31+00:00
"@XochitlGalvez Al contrario la izquierda garantiza dar un minimo de oportunidades a los que menos tienen. Como dice el presidente: ""Por el bien de Mexico primero los pobres.""",2023-11-24 21:34:54+00:00
@XochitlGalvez animo  OCHITL Va.. futura presidente ,2023-11-24 21:33:08+00:00
@tatclouthier @XochitlGalvez @Claudiashein Tu presidente intento desaparecer el conacyt.,2023-11-24 21:31:55+00:00
@SocCivilMx @XochitlGalvez #XochitlVa  PRESIDENTE,2023-11-24 21:30:44+00:00
@XochitlGalvez Mucho exito futura presidente,2023-11-24 21:27:47+00:00
@XochitlGalvez animo futura presidente de Mexico  OCHITL Va,2023-11-24 21:27:17+00:00
@XochitlGalvez #XochitlVa  PRESIDENTE,2023-11-24 21:27:14+00:00
@JJDiazMachuca @XochitlGalvez @lopezobrador_ Te amamos XOCHITL PRESIDENTE,2023-11-24 21:18:23+00:00
"Senora @XochitlGalvez, es el resultado de los ataques que hizo contra el hijo del presidente, el no orquesto nada como usted dice, el solo la destapo sabiendo que usted misma seria su propio mortal enemigo, es tan ching$%n que supo que usted no era nada e iba a desaparecer pronto",2023-11-24 21:12:54+00:00
