content,fecha_publicacion
"@pedroferriz3 @samuel_garcias Que pinche weba que este soplamocos de Ferriz ahora se dedique a chismes de Corazon. 

En esto termino el que queria ser presidente. ",2023-11-24 21:11:07+00:00
"Muchas veces me han dicho que no se puede, que soy muy joven, que soy muy NUEVO; pero una y otra vez he demostrado que los jovenes buscamos el COMO SI, porque me aferro al FUTURO, a una nueva forma de hacer politica. En Nuevo Leon lo logramos: vamos a hacerlo en todo Mexico https://t.co/MGCjNhZbVU",2023-11-24 15:30:03+00:00
"@pedroferriz3 @samuel_garcias Como siempre, no eres capaz de tener argumentos solidos de porque alguien no puede ser presidente de la republica, te basas en chismes, percepciones, no tienes prueba alguna, que pendejo eres como periodista",2023-11-24 21:05:04+00:00
@samuel_garcias va a ser el proximo presidente de Mexico,2023-11-24 20:54:19+00:00
@samuel_garcias Samuel presidente ,2023-11-24 20:54:09+00:00
Creo que Samuel Garcia seria un gran Presidente para mi Mexico lindo y querido! Saludos gobernador @samuel_garcias desde Panama!,2023-11-24 21:11:05+00:00
"@pedroferriz3 @samuel_garcias Y la apuesta es sencilla, todos estamos hasta la madre del PRIAN y Morena, de politicos reciclados y viejas politicas. El % mayor de votantes seran jovenes y por ultimo en Mexico el machismo aun es un tema fuerte x lo q no creo una mayoria vote x una mujer para presidente.",2023-11-24 20:38:11+00:00
@pcBolita @pedroferriz3 @samuel_garcias No pudo gobernar a los codos ni que su vieja le sea fiel y quiere ser presidente ? Jajajajajajaja el chiste se cuenta solo,2023-11-24 20:37:51+00:00
"Muy lamentable que Mariana Rodriguez insulte a Saltillo, mas aun y cuando @samuel_garcias se ha vuelto el ""Patino"" del Presidente y tiene a su estado hecho un desastre .",2023-11-24 20:25:39+00:00
"En @SuperChannel_12 encontre el video. Vaya forma de insultar a #Saltillo. @samuel_garcias es la banalidad en la politica y la construccion de una impostura. Ni #tesla, ni #agua, ni #paz, ni #carreteras, ni #infraestrutura. #NuevoLeon vive sus peores dias y el #narco se aduena de el.",2023-11-24 18:51:11+00:00
"@samuel_garcias El Retrasadito mental, que no sabe nada de historia y menos de Politica.. Solo sabe andar haciendole al  en el tiktok.. Y robando lo que pueda del Erario . Pero esta  ahora Pretende ser Presidente!!!.",2023-11-24 20:15:08+00:00
@AdrianTorresQro @samuel_garcias @chavacanamayor Este wey seria mejor presidente q cualquier otro q haya ocupado el cargo en este pais @samuel_garcias @chavacanamayor,2023-11-24 20:14:54+00:00
"@rubenmoreiravdz @SuperChannel_12 @samuel_garcias @alitomorenoc @elnorte @FerMoctezumaO @GPPRIDiputados @prinlmx Es inverosimil como un personaje tan banal e impostado, haya llegado a ser Gobernador de un estado y ahora intente ser Presidente de la Republica.",2023-11-24 20:01:15+00:00
"@samuel_garcias Con todo respeto pero de que sirve un candidato joven y nuevo si  desde q usted tomo la Gubernatura nos tienen condicionada el agua, la seguridad se fue para atras y dejo la gubernatura para querer ser presidente, entonces donde esta el compromiso con NL?",2023-11-24 19:51:12+00:00
@samuel_garcias oye porque no has hablado de @Claudiashein o sera que le vas a terminar apoyando?? #Politica #campana #presidente,2023-11-24 19:49:11+00:00
"@samuel_garcias Pero tu no eres el joven que queremos de presidente , ni mucho menos una mujer influencer que mueva los hilos , estas equivocado con esta postura ... Quedate en nuevo Leon , ellos te eligieron para gobernador durante 6 anos .",2023-11-24 19:49:07+00:00
"@samuel_garcias Donde estaras en tu gira a Colima, quiero una calca MATONA para mi Tsuru, de paso una foto con el futuro presidente y primera dama Marianis.",2023-11-24 19:48:24+00:00
"@pedroferriz3 @samuel_garcias Saca lo que tengas que sacar de Samuel, aca ya se hizo de fama de autoritario, ademas de agachado del presidente",2023-11-24 19:35:28+00:00
